n,run,in_domain_accuracy
2,0,0.47653429602888087
2,1,0.4151624548736462
2,2,0.4151624548736462
2,3,0.4151624548736462
2,4,0.4151624548736462
2,5,0.4151624548736462
2,6,0.4151624548736462
2,7,0.4151624548736462
2,8,0.4151624548736462
2,9,0.4151624548736462
16,0,0.5054151624548736
16,1,0.5054151624548736
16,2,0.5054151624548736
16,3,0.5054151624548736
16,4,0.5054151624548736
16,5,0.5054151624548736
16,6,0.5054151624548736
16,7,0.5054151624548736
16,8,0.5054151624548736
16,9,0.5054151624548736
32,0,0.4981949458483754
32,1,0.5379061371841155
32,2,0.5379061371841155
32,3,0.5379061371841155
32,4,0.5379061371841155
32,5,0.5379061371841155
32,6,0.5379061371841155
32,7,0.5379061371841155
32,8,0.5379061371841155
32,9,0.5379061371841155
64,0,0.6064981949458483
64,1,0.6064981949458483
64,2,0.6064981949458483
64,3,0.6064981949458483
64,4,0.6064981949458483
64,5,0.6064981949458483
64,6,0.6064981949458483
64,7,0.6064981949458483
64,8,0.6064981949458483
64,9,0.6064981949458483
128,0,0.6209386281588448
128,1,0.6173285198555957
128,2,0.6173285198555957
128,3,0.6173285198555957
128,4,0.6173285198555957
128,5,0.6173285198555957
128,6,0.6173285198555957
128,7,0.6173285198555957
128,8,0.6173285198555957
128,9,0.6173285198555957
